,Latitude,Longitude,City Name,Country Code,Temperature,Cloudiness,Wind Speed,Humidity
99,49.25,3.983333,tinqueux,fr,50,90,12.75,61
100,44.683333,24.183333,creteni,ro,55.4,20,21.92,54
101,49.932857,18.017489,kravare,cz,48.2,40,23.04,49
102,15.0248,120.9932,upig,ph,78.85,90,4.7,83
103,8.173611,-76.059167,tierralta,co,74.71,92,5.17,100
104,46.188855,18.260645,komlo,hu,55.4,75,6.93,77
105,43.310278,21.966667,brzi brod,rs,,,,
106,45.007222,43.349444,yelizavetinskoye,ru,52.48,0,12.88,73
107,0.830178,-77.649594,ipiales,co,55.4,20,2.59,82
108,44.203611,132.448056,sibirtsevo,ru,,,,
109,47.366667,23.133333,salatig,ro,44.6,92,23.04,87
110,46.083333,25.533333,racos,ro,,,,
111,33.6694444,-117.8222222,irvine,us,55.09,90,3.38,82
112,22.410833,88.509444,raypur,in,81.19,0,5.28,31
113,45.65,26.066667,sita buzaului,ro,46.36,12,5.95,63
114,47.366667,26.283333,bogdanesti,ro,53.6,40,16.11,58
115,61.166667,73.166667,barsovo,ru,17.6,64,13.42,44
116,-3.733333,-43.35,chapadinha,br,81.01,32,7.18,100
117,38.2166667,23.9166667,varnavas,gr,70.68,20,10.29,30
118,15.166667,120.7,panlinlang,ph,78.04,90,4.7,83
119,17.933333,-94.083333,las choapas,mx,71.6,5,17.22,94
120,27.666667,-105.166667,camargo,mx,63.28,48,3.15,23
121,51.633333,-102.433333,canora,ca,5,1,14.99,65
122,-3.3,-60.616667,manacapuru,br,85.06,32,3.83,81
123,45.914444,12.85,san vito al tagliamento,it,62.67,0,6.93,62
124,56.7,-2.45,montrose,gb,43.95,20,2.24,71
125,-23.5049,-47.6185,aracoiaba da serra,br,78.49,56,6.96,73
126,13.3252778,-87.3955556,las conchas,hn,,,,
127,22.55,71.466667,sayla,in,90.01,0,13.44,13
128,27.4833333,89.9,wangdiphodrang,bt,,,,
129,40.5725,-74.4930556,middlesex,us,51.53,1,6.93,46
130,36.8049,49.408,rudbar,ir,,,,
131,46.85,25.45,subcetate,ro,39.16,92,10.87,89
132,16.446711,102.832999,khon kaen,th,80.6,64,2.24,69
133,45.1469444,16.5033333,dobrljin,ba,60.8,0,3.36,36
134,35.1833333,25.2833333,thrapsanon,gr,80.6,0,26.4,32
135,35.038234,9.484935,sidi bu zayd,tn,,,,
136,16.053306,103.653861,roi et,th,80.6,0,3.36,61
137,40.873333,35.463056,merzifon,tr,69.8,0,11.41,35
138,14.791389,-90.970833,santa apolonia,gt,68,20,16.11,68
139,52.664762,6.742616,coevorden,nl,43.7,56,6.93,65
140,44.6866667,17.7705556,cecava,ba,60.8,0,3.36,36
141,32.7994444,-97.2688889,haltom city,us,65.19,90,12.75,88
142,18.833333,-97.083333,jalapilla,mx,63.55,0,1.36,58
143,18.883333,-100.733333,tiquicheo,mx,76.06,0,2.82,41
144,37.5686111,-84.2963889,berea,us,35.01,75,11.41,55
145,-23.713098,-47.414578,piedade,br,77.32,32,8.3,77
146,53.984922,38.035934,brusyanskiy,ru,33.76,68,10.31,97
147,18.915278,-103.969444,armeria,mx,72.46,5,9.17,49
148,-36.551128,145.984253,benalla,au,59,12,4.7,72
149,52.664762,6.742616,coevorden,nl,43.7,56,6.93,65
150,50.05,9.7,gemunden,de,43.21,76,14.23,94
151,35.133333,140.3,katsuura,jp,53.11,64,3.15,87
152,-21.05,31.6666667,chiredzi,zw,83.08,0,10.2,44
153,43.866667,25.7,gogosari,ro,57.52,44,16.46,72
154,52.516667,13.4,berlin,de,35.6,75,13.87,93
155,15.030278,-91.329167,santa maria chiquimula,gt,78.8,0,3.04,69
156,45.033333,25.85,baicoi,ro,60.8,20,24.16,55
157,28.1375,106.82,tongzi,cn,58.78,80,3.83,87
158,20.55,-104.033333,ameca,mx,66.97,0,2.04,52
159,21.766667,-98.466667,el higo,mx,71.74,32,4.5,83
160,36.865783,137.43636,kurobe,jp,,,,
161,7.3519444,134.4544444,meyungs,pw,,,,
162,20.333333,-102.783333,cuitzeo,mx,60.8,20,1.92,44
163,49.008747,2.39819,villiers-le-bel,fr,50.9,90,2.24,53
164,-7.05,-35.633333,alagoa grande,br,82.4,75,9.17,65
165,44.816667,24.516667,topana,ro,50.5,56,14.67,72
166,35.5122222,24.0155556,khania,gr,,,,
167,57.033333,120.966667,khani,ru,,,,
168,35.034999,10.90809,jabinyanah,tn,64.4,20,12.75,34
169,58.357836,46.314211,ponazyrevo,ru,33.94,36,1.14,84
170,53.083333,-111.783333,viking,ca,-3.77,0,5.28,60
171,18.416667,75.2,karmala,in,87.58,88,6.73,21
172,44.2,23.05,darvari,ro,55.4,20,21.92,54
173,46.1,23.133333,almasu mare,ro,42.22,68,11.99,79
174,48.487218,24.700775,bili oslavy,ua,50,75,11.18,87
175,-26.1,-50.316667,tres barras,br,,,,
176,31.116667,77.666667,jubbal,in,54.28,0,1.7,71
177,41.471379,2.081834,sant cugat del valles,es,60.8,0,13.87,48
178,39.566667,16.633333,rossano,it,32,90,19.46,85
179,40.7905556,22.0222222,mesimerion,gr,66.2,40,20.8,37
180,20.066667,-102.716667,sahuayo,mx,,,,
181,65.016667,25.466667,oulu,fi,33.8,0,9.17,40
182,38.175,-122.2597222,american canyon,us,47.21,90,2.37,93
183,22.75,-102.516667,guadalupe,mx,64.08,90,4.38,93
184,47.716667,10.316667,kempten,de,46.67,75,13.87,50
